trial,key,time,id,type,shadow,setsize,stimulus
1,right,593.919992446899,1,flat,FALSE,3,present
2,right,698.779463768005,1,flat,FALSE,3,present
3,right,578.231573104858,1,flat,FALSE,3,present
4,right,514.220058917999,1,flat,FALSE,3,present
5,right,468.055635690689,1,flat,FALSE,3,present
6,right,633.194208145142,1,flat,FALSE,3,present
7,right,2182.31344223023,1,flat,FALSE,3,present
8,right,699.831485748291,1,flat,FALSE,3,present
9,right,760.730087757111,1,flat,FALSE,3,present
10,right,672.385573387146,1,flat,FALSE,3,present
11,right,1272.3354101181,1,flat,FALSE,3,present
12,right,774.493098258972,1,flat,FALSE,3,present
13,right,842.196762561798,1,flat,FALSE,3,present
14,left,842.079043388367,1,flat,FALSE,3,present
15,right,423.51695895195,1,flat,FALSE,3,present
16,right,982.653737068176,1,flat,FALSE,3,present
17,right,673.314094543457,1,flat,FALSE,3,present
18,right,468.030661344528,1,flat,FALSE,3,present
19,right,625.343322753906,1,flat,FALSE,3,present
20,right,502.37566232681303,1,flat,FALSE,3,present
21,right,690.34731388092,1,flat,FALSE,3,present
22,right,700.84685087204,1,flat,FALSE,3,present
23,right,1182.22033977508,1,flat,FALSE,3,present
24,right,1140.53666591644,1,flat,FALSE,3,present
25,right,840.481042861938,1,flat,FALSE,3,present
26,right,558.398127555847,1,flat,FALSE,3,present
27,right,550.302267074585,1,flat,FALSE,3,present
28,right,563.106000423431,1,flat,FALSE,3,present
29,right,532.401084899902,1,flat,FALSE,3,present
30,right,927.087962627411,1,flat,FALSE,3,present
31,right,691.672384738922,1,flat,FALSE,3,absent
32,left,796.557486057281,1,flat,FALSE,3,absent
33,left,968.56164932251,1,flat,FALSE,3,absent
34,left,797.670722007751,1,flat,FALSE,3,absent
35,left,1279.14929389954,1,flat,FALSE,3,absent
36,right,857.871830463409,1,flat,FALSE,3,absent
37,left,781.296074390411,1,flat,FALSE,3,absent
38,left,686.913192272186,1,flat,FALSE,3,absent
39,left,747.683882713318,1,flat,FALSE,3,absent
40,right,810.038924217224,1,flat,FALSE,3,absent
41,right,841.929912567139,1,flat,FALSE,6,present
42,right,1208.9991569519,1,flat,FALSE,6,present
43,right,471.175730228424,1,flat,FALSE,6,present
44,right,995.171010494232,1,flat,FALSE,6,present
45,right,1099.07639026642,1,flat,FALSE,6,present
46,right,939.759910106659,1,flat,FALSE,6,present
47,left,950.641632080078,1,flat,FALSE,6,present
48,right,606.551945209503,1,flat,FALSE,6,present
49,left,1203.13799381256,1,flat,FALSE,6,present
50,right,934.109568595886,1,flat,FALSE,6,present
51,right,496.540188789368,1,flat,FALSE,6,present
52,right,466.839402914047,1,flat,FALSE,6,present
53,right,1150.08509159088,1,flat,FALSE,6,present
54,right,481.343746185303,1,flat,FALSE,6,present
55,right,592.934012413025,1,flat,FALSE,6,present
56,right,767.612457275391,1,flat,FALSE,6,present
57,right,1419.09277439117,1,flat,FALSE,6,present
58,right,1467.85581111908,1,flat,FALSE,6,present
59,right,464.571177959442,1,flat,FALSE,6,present
60,right,934.205710887909,1,flat,FALSE,6,present
61,right,623.241722583771,1,flat,FALSE,6,present
62,right,424.676388502121,1,flat,FALSE,6,present
63,right,761.220037937164,1,flat,FALSE,6,present
64,right,870.944023132324,1,flat,FALSE,6,present
65,right,1278.44655513763,1,flat,FALSE,6,present
66,right,1838.94801139831,1,flat,FALSE,6,present
67,right,794.755578041077,1,flat,FALSE,6,present
68,right,1076.91991329193,1,flat,FALSE,6,present
69,right,1166.68832302094,1,flat,FALSE,6,present
70,right,1153.22947502136,1,flat,FALSE,6,present
71,right,1310.22095680237,1,flat,FALSE,6,absent
72,left,1608.37948322296,1,flat,FALSE,6,absent
73,left,1547.72341251373,1,flat,FALSE,6,absent
74,left,1311.26403808594,1,flat,FALSE,6,absent
75,left,2257.91478157044,1,flat,FALSE,6,absent
76,left,1684.161901474,1,flat,FALSE,6,absent
77,left,1279.22248840332,1,flat,FALSE,6,absent
78,left,1202.343583107,1,flat,FALSE,6,absent
79,left,1189.94092941284,1,flat,FALSE,6,absent
80,left,1383.09323787689,1,flat,FALSE,6,absent
81,right,458.281725645065,1,flat,FALSE,9,present
82,right,812.406659126282,1,flat,FALSE,9,present
83,left,574.62465763092,1,flat,FALSE,9,present
84,right,471.300929784775,1,flat,FALSE,9,present
85,right,578.177869319916,1,flat,FALSE,9,present
86,right,1656.9766998291,1,flat,FALSE,9,present
87,right,825.614035129547,1,flat,FALSE,9,present
88,left,1781.35597705841,1,flat,FALSE,9,present
89,right,561.587989330292,1,flat,FALSE,9,present
90,right,624.90302324295,1,flat,FALSE,9,present
91,right,550.470948219299,1,flat,FALSE,9,present
92,right,497.436195611954,1,flat,FALSE,9,present
93,right,1763.47768306732,1,flat,FALSE,9,present
94,right,949.456870555878,1,flat,FALSE,9,present
95,right,604.50404882431,1,flat,FALSE,9,present
96,right,1500.62704086304,1,flat,FALSE,9,present
97,right,715.508937835693,1,flat,FALSE,9,present
98,right,1074.07963275909,1,flat,FALSE,9,present
99,right,919.324338436127,1,flat,FALSE,9,present
100,right,894.123733043671,1,flat,FALSE,9,present
101,left,1570.18637657166,1,flat,FALSE,9,present
102,right,656.229853630066,1,flat,FALSE,9,present
103,right,1495.44715881348,1,flat,FALSE,9,present
104,right,825.994491577148,1,flat,FALSE,9,present
105,right,1086.60113811493,1,flat,FALSE,9,present
106,right,580.342769622803,1,flat,FALSE,9,present
107,right,2012.81523704529,1,flat,FALSE,9,present
108,right,565.366327762604,1,flat,FALSE,9,present
109,right,1474.30431842804,1,flat,FALSE,9,present
110,right,980.625331401825,1,flat,FALSE,9,present
111,right,620.122313499451,1,flat,FALSE,9,absent
112,left,2177.47259140015,1,flat,FALSE,9,absent
113,left,2039.86573219299,1,flat,FALSE,9,absent
114,left,2388.20099830627,1,flat,FALSE,9,absent
115,left,2027.21667289734,1,flat,FALSE,9,absent
116,left,2589.47944641113,1,flat,FALSE,9,absent
117,right,571.876466274261,1,flat,FALSE,9,absent
118,left,2253.62467765808,1,flat,FALSE,9,absent
119,left,1950.65557956696,1,flat,FALSE,9,absent
120,right,901.578783988953,1,flat,FALSE,9,absent
121,right,781.971752643585,1,flat,TRUE,3,present
122,left,1027.25052833557,1,flat,TRUE,3,present
123,right,642.370760440826,1,flat,TRUE,3,present
